id,muin_city,attraction_site,coordinates,category,review,website,phone,address,created_at,updated_at
38,,Armand Lemiez Homestead Site,"51.38227283614911, -98.50121328109172",Museum,3.8,http://www.grahamdale.ca/,12047682858,"Unnamed Road, MB R0C 1C0",27-Jul-22,27-Jul-22
39,,Arrowhead RV Park,"50.40667484027491, -97.04400343887848",Park,4.3,http://www.arrowheadrvpark.ca/,12048784203,"1375A Major Trail, Ile des Chênes, MB R0A 0T0, Canada",27-Jul-22,27-Jul-22
40,,Art City,"49.908010286743234, -97.16886492168325",Non-profit organization,4.4,http://www.artcityinc.com/,12047759856,"616 Broadway, Winnipeg, MB R3C 0W8, Canada",27-Jul-22,27-Jul-22
41,,Art Gallery of Southwestern Manitoba,"49.8483077884458, -99.94779367098226",Art gallery,4.7,http://www.agsm.ca/,12047271036,"710 Rosser Ave #2, Brandon, MB R7A 0K9, Canada",27-Jul-22,27-Jul-22
42,,Art Studio Galleries,"50.13300014101441, -96.89031535823135",Art gallery,,,12048371944,"56 Louise Bay, Selkirk, MB R1A 0C7, Canada",27-Jul-22,27-Jul-22
43,,Art with Attitude,"49.83889075002623, -99.99396809789637",School center,,http://artwithattitude.ca/,12047249896,"19 Wren Cres, Brandon, MB R7B 0S6, Canada",27-Jul-22,27-Jul-22
44,,Artists Emporium,"49.93219473087274, -97.22275812482471",Art supply store,4.5,https://www.artistsemporium.net/,12047722421,"580 Roseberry St, Winnipeg, MB R3H 1G4, Canada",27-Jul-22,27-Jul-22
45,,artymart,"49.98637572662493, -98.29902670115213",Artist,,http://www.artymart.com/,12042402880,"637 6 St NW, Portage la Prairie, MB R1N 2K3, Canada",27-Jul-22,27-Jul-22
46,,Aseneskak Casino,"53.838210675905685, -101.26868886850146",Casino,4.2,,12046272250,"MB-10, Opaskwayak, MB R0B 2J0",27-Jul-22,27-Jul-22
47,,Asessippi Provincial Park,"51.14112174007345, -101.32119458194278", State park,4.6,https://www.gov.mb.ca/sd/parks/park-maps-and-locations/western/asessippi.html,18884822267,"NE1-23-29 W ROJOX0, Inglis, MB R0J 0L0, Canada",27-Jul-22,27-Jul-22
48,,Ashern Arena,"51.18536523864571, -98.34865600783499",Arena,,,,"Ashern, MB R0C 0E0",27-Jul-22,27-Jul-22
49,,Ashern Pioneer Museum,"51.17992039501842, -98.34565070335032",Heritage museum,4.6,http://www.ashernmuseum.com/,,"Ashern, MB R0C 0E0, Canada",27-Jul-22,27-Jul-22
50,,Ashern Sharptail Park,"51.18401436912283, -98.35077187974407",Park,4.5,https://www.travelmanitoba.com/listings/statue-of-a-sharptail-grouse/6849/,12049277814,"Ashern, MB R0C 0C5",27-Jul-22,27-Jul-22
51,,Ashfield District Cemetery,"50.08664774270828, -96.86522558587203",Cemetery,,,,"25102 Ashfield Rd S, East Selkirk, MB R0E 0M0, Canada",27-Jul-22,27-Jul-22
52,,Ashley Neufeld Softball Complex,"49.855390375868886, -99.94955137006858",Baseball,,,12047251909,"805 Parker Blvd, Brandon, MB R7A 4E9, Canada",27-Jul-22,27-Jul-22
53,,Aspen and Bluestem Loop Trail,"50.06433494769327, -96.87666709981005",Hiking area,4.6,,,"Nimowin Rd, Oakbank, MB R0E 1J0, Canada",27-Jul-22,27-Jul-22
54,,Aspen Grove Campground,"49.92211440387998, -100.75283523983276",Campground,4.2,http://www.aspengrovecampground.com/,12048552260,"Box 13, Oak Lake, MB R0M 1P0, Canada",27-Jul-22,27-Jul-22
55,,Assiniboine Forest,"49.87213213037955, -97.24056325013419",Park,4.7,https://winnipeg.ca/publicworks/parksOpenSpace/NaturalistServices/NaturalAreas/AssiniboineForest.stm,,"2595 Roblin Blvd, Winnipeg, MB R3P 2N7, Canada",27-Jul-22,27-Jul-22
56,,Assiniboine Golf Club,"51.93197425081826, -96.91443285524493",Golf club,4,http://www.golfassiniboine.com/,12049889313,"2045 Ness Ave, Winnipeg, MB R3J 3X7, Canada",27-Jul-22,27-Jul-22
57,,Assiniboine Park,"49.87173785960734, -97.22988842494463",Park,4.7,http://www.assiniboinepark.ca/,12049276000,"55 Pavilion Crescent, Winnipeg, MB R3P 2N6, Canada",27-Jul-22,27-Jul-22
58,,Assiniboine Park and Zoo,"49.86838036657657, -97.24060957040702",Zoo,4.5,http://www.assiniboineparkzoo.ca/,12049276000,"2595 Roblin Blvd, Winnipeg, MB R3R 2N7",27-Jul-22,27-Jul-22
59,,Assiniboine Park Zoo,"49.87314282668767, -97.24060774834653",Zoo,4.5,http://www.assiniboineparkzoo.ca/,12049276000,"2595 Roblin Blvd, Winnipeg, MB R3R 2N7, Canada",27-Jul-22,27-Jul-22
60,,Association of Manitoba Museums,"49.994788597663295, -97.11784382852431",Association or organization,4,http://www.museumsmanitoba.com/,12049471782,"555 Main St Unit 2060, Winnipeg, MB R3B 1C3, Canada",27-Jul-22,27-Jul-22
61,,Atikaki Provincial Wilderness Park,"51.72437055606224, -95.4504829634892",State park,4.2,https://www.gov.mb.ca/sd/parks/park-maps-and-locations/eastern/atikaki.html,12044716273,"Lac du Bonnet, MB R0E 1A0, Canada",27-Jul-22,27-Jul-22
62,,Atikokan Museum,"48.75791429857359, -91.61946214694491",Museum,4.9,http://www.atikokan.ca/content/atikokan-centennial-museum,18075976585,"204 Main St E, Atikokan, ON P0T 1C0, Canada",27-Jul-22,27-Jul-22
63,,Aurora Domes,"58.75768760355086, -93.9972380534201",Tourist attraction,4.6,https://auroradomes.ca/,12046758853,"152 Kelsey Blvd, Churchill, MB R0B 0E0",27-Jul-22,27-Jul-22
64,,Avalon Theatre,"50.24950902153904, -100.4104073704436",Performing arts theater,4.6,,12044835215,"98 First St S, Souris, MB R0K 2C0, Canada",27-Jul-22,27-Jul-22
65,,Axelrod,"49.94936131775175, -97.15279326725468",Casino,,https://www.facebook.com/SamAxelrodRealtor/,18333452158,"671 Stafford St, Winnipeg, MB R3M 2X7, Canada",27-Jul-22,27-Jul-22
66,,BABA'S HOUSE,"54.75162720938213, -101.90649026585083",Art gallery,,http://babashouse.ca/,13066882118,"615 Creighton Ave, Creighton, SK S0P 0A0, Canada",27-Jul-22,27-Jul-22
67,,Bach Retreat,"49.4959942133847, -96.54475729013615",Hiking area,,,,"Road 33 North, La Broquerie, MB R0A 0W0, Canada",27-Jul-22,27-Jul-22
68,,Badger Creek Museum,"49.091392657139146, -99.34413528679822",Museum,,http://www.cartwrightroblin.ca/,12045292363,"340 Broadway, Cartwright, MB R0K 0L0, Canada",27-Jul-22,27-Jul-22
69,,BAGA,"49.91399209800094, -97.12767743539472",Golf club,,https://baga-golf-club.business.site/?utm_source=gmb&utm_medium=referral,12042947921,"58 Prince Edward St, Winnipeg, MB R2W 3K3, Canada",27-Jul-22,27-Jul-22
70,,Bakers Narrows Lodge & Conference Center,"56.07705518197928, -100.91458295260048",2-star hotel,4.6,http://www.bakersnarrowslodge.com/,12046813250,"#1 Hwy 10, Bakers Narrows, Flin Flon, MB R8A 1N1, Canada",27-Jul-22,27-Jul-22
71,,Bakers Narrows Provincial Park,"54.68001733772236, -101.66424483407758",State park,4.7,https://www.gov.mb.ca/sd/parks/park-maps-and-locations/northwest/bakers.html,12046871651,"Manitoba R0B 0C0, Canada",27-Jul-22,27-Jul-22
72,,Balmoral Recreation Centre,"50.36417623766244, -97.30722870373087",Recreation center,4.1,https://www.facebook.com/Balmoral-Rec-Center-486977162039039,12044672620,"6014 East Pr Hwy 236, Balmoral, MB R0C 0H0, Canada",27-Jul-22,27-Jul-22
73,,Barrier Bay Resort,"50.218946324724854, -95.70219101733232",Resort,4.8,https://www.barrierbay.com/,12043487755,"Block 1 Lot 21 Barrier Bay Whiteshell Provincial Park, Seven Sisters Falls, MB R0E 1Y0, Canada",27-Jul-22,27-Jul-22
74,,Barrows Community Hall,"52.86358320934295, -101.44493371765316",Auditorium,,,12045452034,"Red Deer Lake Rd, Barrows, MB R0L 0B0, Canada",27-Jul-22,27-Jul-22
75,,Bathgate Cemetery,"48.96077166869338, -97.47961148587795",Cemetery,,,,"10043 148th Ave NE, Bathgate, ND 58216, United States",27-Jul-22,27-Jul-22
76,,Bayside Resort,"54.67336089983842, -102.08061166469868",Resort,4.7,http://www.baysideresortsk.com/,13063622122,"900 Moody Rd, Denare Beach, SK S0P 0B0, Canada",27-Jul-22,27-Jul-22
77,,BDO Centre for the Community,"49.97898096808088, -98.29265982544953",Arena,4.1,https://www.strideplace.ca/bdo-centre/,12048561075,"390 1 St NW, Portage la Prairie, MB R1N 1Z3",27-Jul-22,27-Jul-22
78,,Beach Side Park,"50.51739380054835, -96.97116558677449",Park,4.1,,,"Winnipeg Beach, MB R0C 3G0",27-Jul-22,27-Jul-22
79,,Bear Lake Hiking Trail,"50.2445139169739, -95.39505157681954",Hiking area,4.6,https://www.gov.mb.ca/sd/parks/park-maps-and-locations/eastern/whiteshell.html,12043693157,"Provincial Trunk Hwy 44, Falcon Beach, MB R0E 0N0, Canada",27-Jul-22,27-Jul-22
80,,Beaudry Provincial Park,"49.86121941567935, -97.47740297126109",State park,4.6,https://www.gov.mb.ca/sd/parks/park-maps-and-locations/central/beaudry.html,18002146497,"MB-241, Springstein, MB R0G 2N0",27-Jul-22,27-Jul-22
81,,Beautiful Plains Museum,"50.22852207291707, -99.4741458543759",Museum,4.6,http://www.beautifulplainsmuseum.ca/,12044763896,"91 Hamilton St, Neepawa, MB R0J 1H0, Canada",27-Jul-22,27-Jul-22
82,,Beaver Creek Bible Camp,"52.244206739178075, -96.97092780322502",Campground,4.4,,12042762049,"4 St, Riverton, MB R0C 2R0, Canada",27-Jul-22,27-Jul-22
83,,Beaver Creek Provincal Park,"51.548525789946446, -96.90815874642311",Campground,4.3,https://www.gov.mb.ca/sd/parks/park-maps-and-locations/central/beaver.html,,"1V0, MB-234, Little Bullhead, MB, Canada",27-Jul-22,27-Jul-22
84,,Beaver Stadium,"49.980010359657285, -98.29974039768956",Stadium,,,,"Portage la Prairie, MB",27-Jul-22,27-Jul-22
85,,Beckoning Hills Museum Inc.,"49.22772935510109, -100.05972271647114",Museum,4.8,,12045346544,"425 Mill Rd, Boissevain, MB R0K 0E0, Canada",27-Jul-22,27-Jul-22
86,,Bel Acres Golf & Country Club,"50.03610211713805, -97.27922822473609",Golf course,4.1,https://www.belacres.com/,12046328337,Manitoba R0C 3A0,27-Jul-22,27-Jul-22
87,,Belgian Cemetery,"50.72616743634967, -97.24224814332604",Cemetery,,,,"Winnipeg, MB R2J 0E8, Canada",27-Jul-22,27-Jul-22
88,,Bell River Canyon Trail,"52.60778581708165, -101.09144155695783",Hiking area,,,,"MB-10, Birch River, MB R0L 0E0, Canada",27-Jul-22,27-Jul-22
89,,Bella’s Castle Wedding Venue and B&B,"49.19554643043119, -98.10873792636369",Tourist attraction,4.6,http://www.bellascastle.com/,12048230810,"572 Stephen St, Morden, MB R6M 1R7, Canada",27-Jul-22,27-Jul-22
90,,BellMTS Iceplex,"50.33817748613034, -97.37903732829771",Faculty of sports,4.5,http://www.bellmtsiceplex.ca/,12049265887,"3969 Portage Ave, Winnipeg, MB R3K 1W4, Canada",27-Jul-22,27-Jul-22
91,,Bender Hamlet,"50.746412853788776, -97.46880476299278",Historical landmark,,http://www.mhs.mb.ca/docs/sites/benderhamlet.shtml,,"Unnamed Road, Narcisse, MB R0C 2H0, Canada",27-Jul-22,27-Jul-22
92,,Berens River Airport,"52.35923901755342, -97.01697514793975",Airport,4.5,http://www.gov.mb.ca/mit/namo/air/airports.html,12043822021,"Berens River, MB R0B 0A0, Canada",27-Jul-22,27-Jul-22
93,,Berens River Catholic Church,"52.36000035481306, -97.02967207001248",Church,,,,"9X5C+W4, Berens River, MB R0B 0A0, Canada",27-Jul-22,27-Jul-22
94,,Berens River Community Ctr,"52.35453404758753, -97.00227291473624",Community center,,http://berensrivercommunitycouncil.ca/,12043822417,"Berens River, MB R0B 0A0, Canada",27-Jul-22,27-Jul-22
95,,Berens River First Nation,"52.356407681697, -97.001942748815",Government office,4,http://www.berensriver.ca/,12043822161,"P.O Box 131, Berens River, MB R0B 0A0, Canada",27-Jul-22,27-Jul-22
96,,Berens River Hotel,"52.359364584345734, -97.02953474466548",Hotel,4.4,,,"Berens River, MB R0B 0A0, Canada",27-Jul-22,27-Jul-22
97,,Beresford Lake Campground,"50.91199547230793, -95.3298173549932",Campground,4.3,https://www.gov.mb.ca/sd/pubs/parks-protected-spaces/maps/campground_maps/beresford_lake_campground.pdf,,"Unnamed Road, Wadhope, MB, Canada",27-Jul-22,27-Jul-22
98,,Bertrand Arena,"49.90275757393176, -97.11445009167682",Arena,3.8,http://winnipeg.ca/cms/recreation/facilities/arenas/bertrand.stm,12048092192,"294 Bertrand St, Winnipeg, MB R2H 0S4, Canada",27-Jul-22,27-Jul-22
99,,Best Western Plus Morden,"49.19778992312697, -98.07543562036638",2-star hotel,4.6, https://www.bestwestern.com/en_US/book/hotel-rooms.63019.html?iata=00171880&ssob=BLBWI0004G&cid=BLBWI0004G:google:gmb:63019,12048226116,"253 Loren Dr, Morden, MB R6M 0C9, Canada",27-Jul-22,27-Jul-22
100,,Best Western Thompson Hotel & Suites,"55.74649782759731, -97.85166125789102",3-star hotel,4.3,https://www.bestwestern.com/en_US/book/hotel-rooms.63014.html?iata=00171880&ssob=BLBWI0004G&cid=BLBWI0004G:google:gmb:63014,12047788887,"205 Mystery Lake Rd, Thompson, MB R8N 1Z8, Canada",27-Jul-22,27-Jul-22
101,,Bethel Heritage Park,"49.178416905043306, -97.93988125403617",Park,4.6,,,"193 6 St, Winkler, MB R6W 1J1",27-Jul-22,27-Jul-22
102,,Betula Lake Campground,"50.90607161312659, -95.52073256072289",Campground,4.4,,,"Manitoba R0E 1N0, Canada",27-Jul-22,27-Jul-22
103,,Bianca Peron Memorial,"51.17021857591435, -100.05788879852057",Memorial park,,https://www.sneathstrilchuk.com/notices/Bianca-Peron,,"Dauphin, MB R0L 2B0, Canada",27-Jul-22,27-Jul-22
104,,Big Island Drive-In Theatre,"55.01756805627841, -101.60467722447608",Outdoor movie theater,4.9,https://www.bigislanddrivein.com/,12046873000,"MB-10, Big Island Lake, MB R0B 0C0, Canada",27-Jul-22,27-Jul-22
105,,Big Rock Trail,"52.81718849115725, -100.98254675356564",Hiking area,,,,"Unnamed Road, Mafeking, MB R0L 1B0, Canada",27-Jul-22,27-Jul-22
106,,Big White Ice Skating Rink and Skate Rentals,"50.41072398403815, -119.19824875796495",Ice skating rink,4.8,http://www.bigwhite.com/events-activities/winter-activities/ice-skating,12504916101,"505 Happy Valley Rd, Kelowna, BC V1P 1P3, Canada",27-Jul-22,27-Jul-22
107,,Big Whiteshell Hiking Trail,"50.09969987645145, -95.38119792894611",Hiking area,4.7,,,"Big Whiteshell Lake, MB R0E, Canada, Canada",27-Jul-22,27-Jul-22
108,,Billy Mosienko Arena,"49.95464385294875, -97.19904900712268",Arena,4.1,http://winnipeg.ca/cms/recreation/facilities/arenas/billymosienko.stm,18773114974,"709 Keewatin St, Winnipeg, MB R2X 2S6, Canada",27-Jul-22,27-Jul-22
109,,Billy Mosienko Lanes,"49.93188662789338, -97.12833499875832",Amusement center,4.4,http://www.mosienkolanes.com/,12045862416,"1136 Main St, Winnipeg, MB R2W 3S3, Canada",27-Jul-22,27-Jul-22
110,,Binney Corner Nature Preserve,"49.2635534451616, -98.59108366886336",Nature preserve,4.6,,,"Rd 50 W, MB, R0G 1G0",27-Jul-22,27-Jul-22
111,,Birch Ski Area,"49.47018371461463, -98.38353797905921",Ski resort,4.5,,12048283586,"NW 8-6-7W, Roseisle, MB R0G 1V0",27-Jul-22,27-Jul-22
112,,Birchwood Art Gallery and Custom Frame Shop,"49.854267595237964, -97.15500099166564", Art gallery,,,12048885840,"1068 Pembina Hwy, Winnipeg, MB R3T 1Z8, Canada",27-Jul-22,27-Jul-22
113,,Birchwood Cemetery,"52.915264510739995, -101.42830110084647",Cemetery,,http://www.swanrivermanitoba.ca/,12047344586,"4 Ave N, Swan River, MB R0L 1Z0, Canada",27-Jul-22,27-Jul-22
114,,Bird Lake Campground,"50.683850394919865, -95.38889667881378",Campground,3.9,http://www.gov.mb.ca/sd/parks/,18002146497,"Unnamed Road, Oakbank, MB, Canada",27-Jul-22,27-Jul-22
115,,Bird's Hill Campground,"50.21682264453252, -96.85645729551544",Campground,5,,,"Unnamed Road, West Pine Ridge, MB R0E 1J0, Canada",27-Jul-22,27-Jul-22
116,,Birds Hill Provincial Park,"50.17157345807523, -96.93112119458596",State park,4.6,https://gov.mb.ca/sd/parks/park-maps-and-locations/central/birds.html,12046546730,"Oakbank, MB R0E 0K0, Canada",27-Jul-22,27-Jul-22
117,,Birds Hill Provincial Park Campground,"50.41325609233961, -96.84547096753658",Campground,4.6,https://prspub.gov.mb.ca/,12042221982,"Manitoba R0E 1J0, Canada",27-Jul-22,27-Jul-22
118,,Birdtail Country Museum,"50.421996985233044, -101.0474835981164",Museum,3,https://www.travelmanitoba.com/listings/birdtail-country-museum/1056/,12048423363,"738 Main St, Birtle, MB R0M 0C0, Canada",27-Jul-22,27-Jul-22
119,,Bissett Community Council,"51.02739298957056, -95.68391991291675",Association or organization,,https://bissettcc.com/,12042775218,"Bissett, MB R0E 0J0, Canada",27-Jul-22,27-Jul-22
120,,Bissett Curling Club,"51.05876281485172, -95.69451434055661",Curling club,3.5,"28F7+X9 Bissett, Manitoba, Canada",12042775257,"Bissett, MB R0E 0J0, Canada",27-Jul-22,27-Jul-22
121,,Bissett Water Aerodrome,"51.016896711825694, -95.68332323123931",Airstrip,,,,"2888+MM, Bissett, MB R0E 0J0, Canada",27-Jul-22,27-Jul-22
122,,Black Bear Island Lighthouse,"50.170381004180406, -96.87081840749977",Historical landmark,5,https://www.lighthousefriends.com/light.asp?ID=1710,,"490 Eveline St #490, Selkirk, MB R1A 1E6, Canada",27-Jul-22,27-Jul-22
123,,Black Lake Campground and hiking trail Nopiming Provincial Park,"50.94762048417095, -95.56467792032919",Campground,4.6,,18666264862,"MB-314, Manitoba R0E 1N0, Canada",27-Jul-22,27-Jul-22
124,,Black Lake Hiking Trail,"50.99728059006191, -95.41702423200897",State park,5,,,"MB-314, Oakbank, MB R0E, Canada",27-Jul-22,27-Jul-22
125,,Black Wheat Brewing,"49.843742214396016, -99.95179640955644",Brewery,4.7,https://www.blackwheatbrewing.ca/,,"402 10th St, Brandon, MB R7A 4G2, Canada",27-Jul-22,27-Jul-22
126,,Blackhead Park,"47.52248277203664, -52.66346346509014",Park,4.5,http://www.stjohns.ca/sites/default/files/CSJ_FileUpload/PublicWorks/Playgrounds%20and%20Skate%20Parks.pdf,,"1377 Blackhead Rd, St. John's, NL A1C 5H2, Canada",27-Jul-22,27-Jul-22
127,,Blacklist Golf,"49.95730899669318, -97.1393914568198",Golf club,,,12048085634,"68 Durward St, Winnipeg, MB R2V 3N2, Canada",27-Jul-22,27-Jul-22
128,,Blessed Virgin Mary Ukrainian Catholic Cemetery - Rossdale,"50.119637657762325, -97.02281126340338",Cemetery,5,,,"34 Rossdale Rd, Saint Andrews, MB R1A 3K6, Canada",27-Jul-22,27-Jul-22
129,,Bloom Floral,"49.196912108998035, -97.93519567659847",Florist,4.8,http://bloomfloral.ca/,12043254342,"820 Triple E Blvd #1, Winkler, MB R6W 0M7, Canada",27-Jul-22,27-Jul-22
130,,Bloomfield Rosewell Cemetery,"49.30487767713226, -97.8072291830804",Cemetery,,,,"14161 Road 19 N Roland, Pembina Valley Census, Canada",27-Jul-22,27-Jul-22
131,,Bnay Abraham Cemetery,"50.28147730688789, -97.09663983382701",Cemetery,,http://www.congregationetzchayim.ca/,12045896305,"4639 Main Street, West Saint Paul, MB R4A 3A4, Canada",27-Jul-22,27-Jul-22
132,,Bob Sigvaldason Nature Preserve,"49.45734488402737, -99.22652143212419",Nature preserve,,,,"Argyle, MB R0K 0B0",27-Jul-22,27-Jul-22
133,,Bodtker Group Golf,"49.92169966645727, -97.20925798925171",Golf club,,http://bodtkergolftour.com/,12046334403,"1093 Sherwin Rd, Winnipeg, MB R3H 1A4, Canada",27-Jul-22,27-Jul-22
134,,Bois-des-Esprits,"49.97882069135245, -96.99407783884604",Park,4.8,http://www.winnipegtrails.ca/trails-maps/bois-des-esprit/,,"650 Shorehill Dr, Winnipeg, MB, Canada",27-Jul-22,27-Jul-22
